,Time (s) Run #2,Time (s) Run #3,Time (s) Run #4,Time (s) Run #5,Time (s) Run #6,Time (s) Run #7,Time (s) Run #8,Time (s) Run #9,Time (s) Run #10,Time (s) Run #11,Position (m) Run #2,Position (m) Run #3,Position (m) Run #4,Position (m) Run #5,Position (m) Run #6,Position (m) Run #7,Position (m) Run #8,Position (m) Run #9,Position (m) Run #10,Position (m) Run #11
41,,,,,,,,,0.88,1.0,,,,,,,,,0.41,0.69
42,,,,,,,,,0.9,1.02,,,,,,,,,0.38,0.67
43,,,,,,,,,0.92,1.04,,,,,,,,,0.35,0.65
44,,,,,,,,,0.94,1.06,,,,,,,,,0.32,0.63
45,,,,,,,,,0.96,1.08,,,,,,,,,0.29,0.61
46,,,,,,,,,0.98,1.1,,,,,,,,,0.26,0.59
47,,,,,,,,,1.0,1.12,,,,,,,,,0.23,0.58
48,,,,,,,,,1.02,1.14,,,,,,,,,0.2,0.56
49,,,,,,,,,,1.16,,,,,,,,,,0.54
50,,,,,,,,,,1.18,,,,,,,,,,0.52
51,,,,,,,,,,1.2,,,,,,,,,,0.5
52,,,,,,,,,,1.22,,,,,,,,,,0.48
53,,,,,,,,,,1.24,,,,,,,,,,0.46
54,,,,,,,,,,1.26,,,,,,,,,,0.44
55,,,,,,,,,,1.28,,,,,,,,,,0.43
56,,,,,,,,,,1.3,,,,,,,,,,0.4
57,,,,,,,,,,1.32,,,,,,,,,,0.38
58,,,,,,,,,,1.34,,,,,,,,,,0.36
59,,,,,,,,,,1.36,,,,,,,,,,0.33
60,,,,,,,,,,1.38,,,,,,,,,,0.31
61,,,,,,,,,,1.4,,,,,,,,,,0.29
62,,,,,,,,,,1.42,,,,,,,,,,0.27
63,,,,,,,,,,1.44,,,,,,,,,,0.25
64,,,,,,,,,,1.46,,,,,,,,,,0.23
65,,,,,,,,,,1.48,,,,,,,,,,0.21
66,,,,,,,,,,1.5,,,,,,,,,,0.19
67,,,,,,,,,,1.52,,,,,,,,,,0.17
68,,,,,,,,,,1.54,,,,,,,,,,0.14
