"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.320,0.99,-0.99,-2.95,0.320,1.15,-0.85,0.83,0.320,1.15,-0.81,-0.34,0.320,1.25,-0.63,-2.25,0.320,0.90,-1.01,0.21,0.320,1.36,-0.72,-12.82,0.320,1.37,-0.10,-4.31,0.320,1.27,-1.02,0.75,0.320,1.36,-0.57,-8.96,0.320,1.27,-0.60,-0.01
0.340,0.97,-1.03,-0.68,0.340,1.13,-0.80,-0.07,0.340,1.14,-0.84,-0.47,0.340,1.24,-0.61,-0.74,0.340,0.88,-0.96,0.11,0.340,1.30,-1.13,-6.03,0.340,1.37,-0.24,-7.20,0.340,1.25,-0.75,3.76,0.340,1.35,-0.75,-5.20,0.340,1.26,-0.57,-2.34
0.360,0.95,-1.00,1.10,0.360,1.12,-0.84,-0.94,0.360,1.12,-0.84,-0.56,0.360,1.22,-0.63,-0.33,0.360,0.86,-0.96,-1.23,0.360,1.28,-1.13,3.74,0.360,1.37,-0.46,-7.29,0.360,1.23,-0.75,2.22,0.360,1.33,-0.77,-1.01,0.360,1.25,-0.71,-3.44
0.380,0.93,-0.95,1.18,0.380,1.09,-0.87,-1.02,0.380,1.10,-0.85,-0.97,0.380,1.22,-0.62,-0.10,0.380,0.84,-1.02,-2.18,0.380,1.27,-0.66,5.72,0.380,1.35,-0.62,-3.88,0.380,1.22,-0.75,-0.40,0.380,1.32,-0.76,1.44,0.380,1.23,-0.83,-1.52
0.400,0.91,-0.94,0.33,0.400,1.08,-0.89,-0.22,0.400,1.08,-0.87,-1.53,0.400,1.20,-0.66,0.35,0.400,0.82,-1.09,-1.03,0.400,1.26,-0.73,0.56,0.400,1.34,-0.59,-1.29,0.400,1.21,-0.75,-1.25,0.400,1.30,-0.69,1.64,0.400,1.22,-0.74,-0.50
0.420,0.89,-0.95,-0.29,0.420,1.06,-0.87,1.04,0.420,1.06,-0.92,-1.37,0.420,1.19,-0.60,-0.64,0.420,0.80,-1.09,0.60,0.420,1.24,-0.84,-3.05,0.420,1.33,-0.58,-0.96,0.420,1.19,-0.80,-1.49,0.420,1.29,-0.66,0.13,0.420,1.20,-0.72,-3.15
0.440,0.87,-0.96,-0.20,0.440,1.04,-0.86,1.55,0.440,1.05,-0.95,-0.76,0.440,1.17,-0.61,-2.85,0.440,0.78,-1.02,0.84,0.440,1.22,-0.89,-1.25,0.440,1.32,-0.66,-1.48,0.440,1.18,-0.86,-0.73,0.440,1.27,-0.67,-1.61,0.440,1.19,-0.89,-2.22
0.460,0.85,-0.96,0.14,0.460,1.03,-0.77,-0.01,0.460,1.03,-0.94,-0.44,0.460,1.17,-0.74,-4.43,0.460,0.76,-1.02,-0.27,0.460,1.20,-0.87,0.30,0.460,1.30,-0.67,-1.20,0.460,1.16,-0.83,0.10,0.460,1.27,-0.76,-1.62,0.460,1.17,-1.07,3.81
0.480,0.84,-0.95,0.30,0.480,1.01,-0.80,-2.64,0.480,1.01,-0.95,-0.66,0.480,1.14,-0.86,-2.81,0.480,0.74,-1.06,-0.97,0.480,1.19,-0.85,0.43,0.480,1.29,-0.67,-1.59,0.480,1.14,-0.81,-0.03,0.480,1.25,-0.79,-0.24,0.480,1.15,-0.66,5.53
0.500,0.82,-0.94,0.20,0.500,1.00,-0.93,-3.76,0.500,0.99,-0.97,-0.87,0.500,1.13,-0.89,-0.17,0.500,0.71,-1.08,-0.39,0.500,1.17,-0.84,-0.10,0.500,1.28,-0.71,-2.43,0.500,1.13,-0.83,-0.68,0.500,1.23,-0.74,0.20,0.500,1.12,-0.49,-2.15
0.520,0.80,-0.94,-0.08,0.520,0.97,-1.02,-1.39,0.520,0.97,-0.99,-0.87,0.520,1.11,-0.81,1.13,0.520,0.69,-1.08,0.30,0.520,1.15,-0.87,-0.25,0.520,1.26,-0.81,-2.18,0.520,1.11,-0.85,-0.62,0.520,1.22,-0.72,-1.54,0.520,1.16,-0.80,-10.64
0.540,0.78,-0.95,-0.32,0.540,0.95,-1.01,1.40,0.540,0.95,-1.00,-0.93,0.540,1.10,-0.82,0.98,0.540,0.67,-1.05,0.43,0.540,1.14,-0.87,-0.17,0.540,1.24,-0.82,-2.57,0.540,1.09,-0.86,-0.23,0.540,1.20,-0.80,-3.43,0.540,1.10,-1.19,-6.96
0.560,0.76,-0.96,-0.45,0.560,0.93,-0.90,1.97,0.560,0.93,-1.03,-0.86,0.560,1.08,-0.79,0.11,0.560,0.65,-1.05,0.06,0.560,1.12,-0.86,-0.45,0.560,1.23,-0.82,0.08,0.560,1.08,-0.85,0.07,0.560,1.18,-0.91,-4.12,0.560,1.08,-1.24,1.63
0.580,0.74,-0.96,-0.45,0.580,0.92,-0.89,0.63,0.580,0.91,-1.05,-0.46,0.580,1.06,-0.78,-0.67,0.580,0.63,-1.06,-0.39,0.580,1.10,-0.88,-0.97,0.580,1.21,-1.00,4.41,0.580,1.06,-0.86,-0.44,0.580,1.17,-0.96,0.17,0.580,1.06,-0.88,4.79
0.600,0.72,-0.97,-0.43,0.600,0.90,-0.90,-0.71,0.600,0.89,-1.05,0.09,0.600,1.05,-0.83,-1.78,0.600,0.61,-1.06,-0.65,0.600,1.08,-0.91,-0.66,0.600,1.19,-0.62,4.33,0.600,1.04,-0.85,-2.60,0.600,1.15,-1.05,6.83,0.600,1.04,-0.91,2.04
0.620,0.70,-0.98,-0.39,0.620,0.88,-0.92,-0.87,0.620,0.87,-1.04,0.27,0.620,1.03,-0.86,-1.70,0.620,0.59,-1.08,-0.66,0.620,1.06,-0.93,0.23,0.620,1.16,-0.50,-4.08,0.620,1.03,-0.92,-4.66,0.620,1.13,-0.64,7.51,0.620,1.02,-0.94,-0.54
0.640,0.68,-0.99,-0.32,0.640,0.86,-0.95,-0.45,0.640,0.85,-1.03,0.11,0.640,1.01,-0.93,-0.47,0.640,0.56,-1.10,-0.28,0.640,1.05,-0.88,0.46,0.640,1.21,-0.81,-13.48,0.640,1.00,-1.10,-3.91,0.640,1.10,-0.41,-1.96,0.640,1.01,-0.93,0.06
0.660,0.66,-1.00,-0.33,0.660,0.84,-0.95,0.21,0.660,0.83,-1.04,-0.01,0.660,1.00,-0.89,0.05,0.660,0.54,-1.10,0.18,0.660,1.03,-0.87,-0.29,0.660,1.14,-1.30,-9.33,0.660,0.98,-1.16,-0.41,0.660,1.14,-0.70,-13.21,0.660,0.99,-0.92,0.17
0.680,0.64,-1.00,-0.45,0.680,0.82,-0.93,0.44,0.680,0.80,-1.04,-0.09,0.680,0.97,-0.86,-1.09,0.680,0.52,-1.08,0.18,0.680,1.01,-0.91,-1.02,0.680,1.12,-1.43,1.33,0.680,0.95,-1.07,2.27,0.680,1.08,-1.23,-11.01,0.680,0.97,-0.92,-0.37
0.700,0.62,-1.01,-0.55,0.700,0.80,-0.92,-0.07,0.700,0.78,-1.03,-0.37,0.700,0.96,-0.92,-3.02,0.700,0.50,-1.08,-0.21,0.700,0.99,-0.94,-0.80,0.700,1.09,-1.00,7.05,0.700,0.94,-1.00,2.12,0.700,1.06,-1.41,-0.45,0.700,0.95,-0.93,-0.85
0.720,0.60,-1.03,-0.46,0.720,0.79,-0.93,-0.80,0.720,0.76,-1.04,-0.83,0.720,0.94,-1.02,-2.86,0.720,0.48,-1.10,-0.53,0.720,0.97,-0.94,-0.23,0.720,1.08,-0.96,4.73,0.720,0.91,-1.00,1.08,0.720,1.03,-1.03,5.82,0.720,0.93,-0.97,-0.95
0.740,0.58,-1.03,-0.18,0.740,0.77,-0.96,-0.87,0.740,0.74,-1.07,-0.94,0.740,0.92,-1.09,-0.96,0.740,0.46,-1.11,-0.53,0.740,0.95,-0.94,-0.01,0.740,1.06,-0.93,0.85,0.740,0.90,-0.99,0.67,0.740,1.02,-0.96,3.91,0.740,0.91,-0.98,-0.60
0.760,0.56,-1.03,-0.01,0.760,0.75,-0.98,-0.41,0.760,0.72,-1.09,-0.48,0.760,0.90,-1.04,0.47,0.760,0.43,-1.12,-0.37,0.760,0.94,-0.94,-0.10,0.760,1.04,-0.93,0.41,0.760,0.88,-0.96,0.37,0.760,1.00,-0.98,0.09,0.760,0.89,-0.99,-0.05
0.780,0.54,-1.03,-0.04,0.780,0.73,-0.97,-0.06,0.780,0.70,-1.09,-0.02,0.780,0.88,-1.02,0.60,0.780,0.41,-1.12,-0.26,0.780,0.92,-0.94,-0.17,0.780,1.02,-0.92,0.19,0.780,0.86,-0.96,-0.32,0.780,0.98,-0.98,-0.37,0.780,0.87,-0.98,0.37
0.800,0.52,-1.03,-0.18,0.800,0.71,-0.97,-0.15,0.800,0.68,-1.08,0.05,0.800,0.86,-1.03,0.20,0.800,0.39,-1.13,-0.20,0.800,0.90,-0.95,-0.13,0.800,1.00,-0.91,-0.03,0.800,0.84,-0.98,-0.89,0.800,0.96,-0.98,0.49,0.800,0.85,-0.97,0.65
0.820,0.50,-1.04,-0.35,0.820,0.69,-0.98,-0.36,0.820,0.66,-1.09,-0.12,0.820,0.83,-1.02,0.16,0.820,0.37,-1.13,-0.15,0.820,0.88,-0.95,-0.07,0.820,0.98,-0.92,-0.37,0.820,0.82,-1.00,-0.67,0.820,0.94,-1.00,3.51,0.820,0.83,-0.96,0.58
