"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
1.380,1.28,-0.14,0.67,1.380,0.12,-0.33,140.24,1.380,2.59,44.01,-461.58,1.380,0.20,-1.17,1.51,,,,,1.380,0.31,-1.10,-0.21,1.380,0.44,-1.02,-0.47,1.380,0.23,-1.06,-0.16,1.380,0.36,-1.07,-0.02,1.380,0.27,-1.04,8.62E-4
1.400,1.28,-0.11,-0.56,1.400,0.12,-0.24,354.01,1.400,2.59,17.40,-999.35,1.400,0.18,-1.16,5.46,,,,,1.400,0.29,-1.10,-0.18,1.400,0.42,-1.03,-0.51,1.400,0.21,-1.07,-0.01,1.400,0.34,-1.08,-0.09,1.400,0.25,-1.04,-0.02
1.420,1.27,-0.10,-4.38,1.420,0.13,15.44,395.72,1.420,2.90,-11.28,,1.420,0.16,-1.02,9.96,,,,,1.420,0.27,-1.11,-0.16,1.420,0.40,-1.04,-0.48,1.420,0.19,-1.07,1.74,1.420,0.32,-1.08,-0.13,1.420,0.23,-1.04,-0.02
1.440,1.27,-0.24,-8.91,1.440,0.11,26.01,88.63,1.440,1.87,-23.44,,1.440,0.13,-0.68,96.91,,,,,1.440,0.25,-1.11,-0.14,1.440,0.38,-1.05,-0.37,1.440,0.16,-1.05,6.93,1.440,0.30,-1.08,-0.18,1.440,0.21,-1.05,0.19
1.460,1.27,-0.53,-11.32,1.460,2.00,20.89,-351.94,1.460,1.96,,,1.460,0.13,-0.46,265.45,,,,,1.460,0.22,-1.11,-0.16,1.460,0.36,-1.05,-0.23,1.460,0.14,-0.87,11.15,1.460,0.28,-1.08,-0.23,1.460,0.18,-1.04,1.94
1.480,1.25,-0.75,-10.18,1.480,1.38,4.94,-440.22,,,,,1.480,0.13,9.90,347.82,,,,,1.480,0.20,-1.11,0.73,1.480,0.34,-1.06,-0.12,1.480,0.12,-0.44,204.15,1.480,0.26,-1.09,-0.22,1.480,0.16,-1.02,6.32
1.500,1.23,-0.95,-8.20,1.500,1.36,-5.71,,,,,,1.500,0.11,20.25,89.67,,,,,1.500,0.18,-1.12,4.01,1.500,0.32,-1.06,-0.04,1.500,0.12,-0.35,526.45,1.500,0.23,-1.09,-0.15,1.500,0.14,-0.83,10.08
1.520,1.22,-1.04,,1.520,1.33,-0.20,,,,,,1.520,1.34,20.35,,,,,,1.520,0.16,-1.01,10.26,1.520,0.30,-1.06,0.02,1.520,0.13,22.92,733.36,1.520,0.21,-1.10,-0.10,1.520,0.12,-0.49,132.17
1.540,1.18,-1.22,,1.540,1.36,,,,,,,1.540,1.34,-0.15,,,,,,1.540,0.13,-0.73,,1.540,0.28,-1.06,0.05,1.540,0.09,38.94,,1.540,0.19,-1.10,1.27,1.540,0.12,-0.36,373.58
1.560,1.17,,,,,,,,,,,1.560,1.33,,,,,,,1.560,0.12,-0.27,,1.560,0.26,-1.05,0.24,1.560,2.90,48.27,,1.560,0.17,-1.10,5.68,1.560,0.12,14.36,494.24
,,,,,,,,,,,,,,,,,,,,1.580,0.12,,,1.580,0.23,-1.05,0.56,1.580,2.02,,,1.580,0.15,-0.94,11.85,1.580,0.10,29.14,127.42
,,,,,,,,,,,,,,,,,,,,,,,,1.600,0.21,-1.03,0.71,,,,,1.600,0.12,-0.57,15.22,1.600,1.87,29.32,
,,,,,,,,,,,,,,,,,,,,,,,,1.620,0.19,-1.01,1.50,,,,,1.620,0.12,-0.20,11.53,1.620,1.87,-0.02,
,,,,,,,,,,,,,,,,,,,,,,,,1.640,0.17,-1.01,4.43,,,,,1.640,0.12,-0.01,93.63,1.640,1.87,,
,,,,,,,,,,,,,,,,,,,,,,,,1.660,0.15,-0.89,7.96,,,,,1.660,0.12,-0.12,357.39,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1.680,0.13,-0.62,98.16,,,,,1.680,0.12,10.58,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1.700,0.13,-0.45,274.36,,,,,1.700,0.11,32.10,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1.720,0.13,10.33,361.92,,,,,1.720,1.41,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1.740,0.11,21.09,183.47,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1.760,1.39,21.28,-175.66,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1.780,1.39,10.62,-358.37,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1.800,1.39,-0.28,-271.37,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1.820,1.38,-0.36,-89.95,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1.840,1.37,-0.31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1.860,1.37,-0.15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1.880,1.37,,,,,,,,,,,,,,
