"Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11"
0.000,1.47,,,0.000,1.40,,,0.000,1.42,,,0.000,1.53,,,0.000,1.35,,,0.000,1.38,,,0.000,1.40,,,0.000,1.34,,,0.000,1.34,,,0.000,1.36,,
0.020,1.48,-0.45,,0.020,1.39,-0.94,,0.020,1.43,0.24,,0.020,1.53,-0.04,,0.020,1.34,-1.00,,0.020,1.36,-0.80,,0.020,1.40,0.01,,0.020,1.34,0.01,,0.020,1.35,0.07,,0.020,1.36,-0.07,
0.040,1.45,-0.20,6.06,0.040,1.36,-1.07,-3.08,0.040,1.43,-0.35,-15.17,0.040,1.53,-0.04,-0.57,0.040,1.31,-1.13,-5.78,0.040,1.34,-0.97,-6.46,0.040,1.40,0.02,0.40,0.040,1.34,0.05,3.01,0.040,1.35,0.10,-2.10,0.040,1.36,0.12,5.08
0.060,1.46,-0.21,0.51,0.060,1.34,-1.06,-3.74,0.060,1.41,-0.36,0.80,0.060,1.53,-0.06,-0.11,0.060,1.29,-1.23,-4.96,0.060,1.32,-1.06,-3.63,0.060,1.40,0.02,0.33,0.060,1.34,0.14,-0.34,0.060,1.36,-0.01,-4.60,0.060,1.37,0.13,-0.30
0.080,1.46,-0.22,-1.39,0.080,1.32,-1.09,-7.69,0.080,1.40,-0.05,5.20,0.080,1.53,-0.06,1.49,0.080,1.27,-1.30,-4.68,0.080,1.30,-1.09,-3.00,0.080,1.40,0.00,0.45,0.080,1.35,0.04,-2.62,0.080,1.35,-0.11,-6.02,0.080,1.36,0.02,-1.70
0.100,1.44,-0.37,-0.29,0.100,1.31,-1.36,-11.81,0.100,1.42,0.04,0.42,0.100,1.53,-0.03,3.31,0.100,1.24,-1.42,-4.49,0.100,1.28,-1.12,-4.64,0.100,1.40,0.06,0.03,0.100,1.35,-0.01,-3.29,0.100,1.35,-0.27,-6.44,0.100,1.37,-0.01,1.15
0.120,1.44,-0.21,-1.79,0.120,1.27,-1.69,-10.42,0.120,1.42,-0.13,-4.30,0.120,1.53,0.10,1.34,0.120,1.21,-1.50,-3.98,0.120,1.26,-1.27,-6.66,0.120,1.40,0.03,-1.49,0.120,1.34,-0.11,-2.15,0.120,1.34,-0.36,-6.36,0.120,1.36,0.06,1.74
0.140,1.44,-0.26,-6.27,0.140,1.23,-1.88,-4.84,0.140,1.40,-0.23,-5.86,0.140,1.53,0.17,-5.95,0.140,1.18,-1.57,-3.51,0.140,1.23,-1.44,-6.55,0.140,1.41,-0.01,-1.98,0.140,1.35,-0.11,0.28,0.140,1.33,-0.53,-5.38,0.140,1.37,0.23,-5.14
0.160,1.44,-0.55,-12.38,0.160,1.19,-1.82,-1.61,0.160,1.41,-0.29,-8.42,0.160,1.54,-0.10,-12.17,0.160,1.15,-1.63,-3.74,0.160,1.20,-1.57,-4.91,0.160,1.39,-0.11,-0.74,0.160,1.34,-0.12,2.11,0.160,1.32,-0.61,-3.85,0.160,1.37,-0.01,-14.63
0.180,1.41,-0.78,-15.55,0.180,1.16,-1.81,-2.99,0.180,1.40,-0.50,-7.93,0.180,1.54,-0.54,-9.71,0.180,1.11,-1.71,-4.13,0.180,1.17,-1.61,0.14,0.180,1.40,-0.03,-2.07,0.180,1.34,0.03,-1.84,0.180,1.30,-0.67,-2.23,0.180,1.39,-0.56,-16.76
0.200,1.40,-1.17,-14.40,0.200,1.12,-1.95,-5.70,0.200,1.38,-0.87,-3.10,0.200,1.51,-0.65,0.49,0.200,1.08,-1.81,-4.11,0.200,1.13,-1.69,4.69,0.200,1.39,-0.03,-7.08,0.200,1.34,0.00,-10.43,0.200,1.30,-0.69,-2.56,0.200,1.34,-0.91,-7.06
