"Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11"
0.220,1.39,-1.50,-8.09,0.220,1.08,-2.11,-4.91,0.220,1.36,-0.61,-1.92,0.220,1.50,-0.44,6.95,0.220,1.04,-1.89,-3.41,0.220,1.10,-1.30,1.93,0.220,1.41,-0.34,-12.63,0.220,1.36,-0.45,-15.81,0.220,1.28,-0.72,-4.02,0.220,1.33,-0.88,3.33
0.240,1.33,-1.56,-0.33,0.240,1.03,-2.21,-2.68,0.240,1.34,-0.56,-7.45,0.240,1.50,-0.13,3.40,0.240,1.00,-1.95,-2.46,0.240,1.06,-1.31,-8.27,0.240,1.38,-0.66,-12.46,0.240,1.32,-0.89,-10.11,0.240,1.27,-0.86,-5.35,0.240,1.32,-0.54,5.67
0.260,1.30,-1.37,-0.76,0.260,0.99,-2.15,-2.96,0.260,1.37,-1.04,-14.09,0.260,1.49,-0.22,-5.51,0.260,0.96,-1.98,-1.83,0.260,1.08,-1.75,-15.48,0.260,1.37,-0.92,-7.60,0.260,1.30,-0.97,-1.33,0.260,1.25,-0.97,-4.77,0.260,1.30,-0.53,1.43
0.280,1.29,-1.34,-8.49,0.280,0.95,-2.24,-5.44,0.280,1.31,-1.33,-11.66,0.280,1.50,-0.47,-12.44,0.280,0.92,-2.01,-1.63,0.280,0.99,-2.23,-8.72,0.280,1.35,-0.94,-3.64,0.280,1.28,-0.69,1.08,0.280,1.22,-1.08,-2.86,0.280,1.30,-0.58,-2.79
0.300,1.26,-1.81,-14.30,0.300,0.91,-2.43,-6.86,0.300,1.27,-1.53,-8.32,0.300,1.47,-0.77,-13.17,0.300,0.88,-2.04,-1.98,0.300,0.96,-2.24,1.05,0.300,1.33,-0.96,-3.02,0.300,1.28,-0.81,-2.97,0.300,1.20,-1.08,-1.50,0.300,1.28,-0.67,-2.39
0.320,1.22,-2.14,-7.98,0.320,0.85,-2.57,-4.67,0.320,1.28,-1.47,-9.92,0.320,1.47,-1.07,-9.97,0.320,0.84,-2.08,-2.75,0.320,0.92,-1.87,3.17,0.320,1.31,-1.05,-5.00,0.320,1.26,-0.92,-7.43,0.320,1.18,-1.10,-0.48,0.320,1.27,-0.73,-0.31
0.340,1.17,-2.29,2.64,0.340,0.80,-2.64,-2.33,0.340,1.21,-1.90,-9.39,0.340,1.44,-1.19,-5.62,0.340,0.80,-2.15,-3.56,0.340,0.89,-1.99,-1.20,0.340,1.29,-1.18,-5.72,0.340,1.23,-1.10,-7.17,0.340,1.16,-1.13,0.08,0.340,1.25,-0.66,1.21
0.360,1.13,-1.82,2.78,0.360,0.75,-2.60,-1.85,0.360,1.18,-2.15,-5.06,0.360,1.41,-1.24,-3.99,0.360,0.76,-2.23,-3.83,0.360,0.84,-2.10,-3.41,0.360,1.26,-1.33,-3.95,0.360,1.22,-1.29,-5.98,0.360,1.14,-1.08,-0.28,0.360,1.24,-0.62,0.64
0.380,1.07,-1.81,-8.04,0.380,0.69,-2.69,-2.68,0.380,1.14,-1.98,0.31,0.380,1.39,-1.28,-5.35,0.380,0.71,-2.31,-3.38,0.380,0.80,-2.15,-1.66,0.380,1.23,-1.37,-1.70,0.380,1.18,-1.30,-0.31,0.380,1.11,-1.08,-2.16,0.380,1.23,-0.64,-0.97
0.400,1.09,-2.28,-17.28,0.400,0.64,-2.74,-3.27,0.400,1.10,-2.00,0.19,0.400,1.37,-1.47,-6.18,0.400,0.66,-2.37,-2.79,0.400,0.76,-2.12,-1.18,0.400,1.21,-1.33,-1.42,0.400,1.15,-1.44,5.30,0.400,1.10,-1.18,-3.86,0.400,1.22,-0.68,-1.36
0.420,0.98,-2.79,-10.92,0.420,0.58,-2.81,-2.62,0.420,1.06,-2.01,-2.40,0.420,1.33,-1.61,-4.46,0.420,0.62,-2.42,-2.40,0.420,0.71,-2.18,-1.49,0.420,1.18,-1.38,-3.12,0.420,1.14,-0.99,3.42,0.420,1.07,-1.29,-3.21,0.420,1.20,-0.72,-0.28
0.440,0.94,-2.92,-0.03,0.440,0.53,-2.87,-1.74,0.440,1.02,-2.10,-3.50,0.440,1.29,-1.65,-2.52,0.440,0.57,-2.47,-2.11,0.440,0.67,-2.22,-1.49,0.440,1.15,-1.49,-4.28,0.440,1.09,-0.96,-6.09,0.440,1.04,-1.34,-1.33,0.440,1.19,-0.71,0.60
0.460,0.89,-2.49,3.69,0.460,0.47,-2.88,-0.89,0.460,0.98,-2.17,-3.65,0.460,1.26,-1.63,-3.25,0.460,0.52,-2.51,-1.72,0.460,0.62,-2.22,-1.20,0.460,1.12,-1.58,-3.72,0.460,1.12,-1.36,-15.99,0.460,1.02,-1.31,-0.27,0.460,1.17,-0.65,-0.73
0.480,0.84,-2.59,-0.26,0.480,0.41,-2.88,-0.70,0.480,0.93,-2.26,-3.15,0.480,1.23,-1.75,-5.10,0.480,0.47,-2.53,-1.35,0.480,0.58,-2.25,-1.58,0.480,1.09,-1.64,-2.53,0.480,1.06,-1.80,-12.48,0.480,0.99,-1.32,-0.34,0.480,1.16,-0.68,-3.79
0.500,0.79,-2.67,-4.16,0.500,0.36,-2.90,-0.90,0.500,0.89,-2.28,-3.24,0.500,1.20,-1.90,-5.28,0.500,0.42,-2.56,-1.20,0.500,0.53,-2.30,-1.88,0.500,1.06,-1.68,-1.94,0.500,1.02,-2.08,-2.20,0.500,0.96,-1.34,-0.59,0.500,1.15,-0.83,-5.18
0.520,0.73,-2.76,-3.51,0.520,0.30,-2.93,3.70,0.520,0.84,-2.36,-3.72,0.520,1.15,-1.99,-3.27,0.520,0.36,-2.58,-1.22,0.520,0.49,-2.34,-1.31,0.520,1.02,-1.70,-2.13,0.520,0.98,-1.75,4.53,0.520,0.93,-1.35,-0.62,0.520,1.13,-0.98,-2.75
0.540,0.68,-2.81,-3.02,0.540,0.24,-2.94,8.43,0.540,0.80,-2.46,-3.62,0.540,1.11,-2.02,-1.84,0.540,0.31,-2.60,-1.94,0.540,0.44,-2.36,-0.47,0.540,0.99,-1.76,-2.60,0.540,0.95,-1.68,4.34,0.540,0.91,-1.35,-0.84,0.540,1.11,-0.97,0.85
0.560,0.62,-2.87,-2.63,0.560,0.18,-2.40,7.90,0.560,0.74,-2.53,-1.41,0.560,1.07,-2.02,-1.89,0.560,0.26,-2.63,175.07,0.560,0.39,-2.34,-0.04,0.560,0.95,-1.82,-1.93,0.560,0.92,-1.66,1.01,0.560,0.88,-1.38,-1.31,0.560,1.09,-0.87,2.54
0.580,0.56,-2.93,-2.18,0.580,0.12,-2.42,6.45,0.580,0.69,-2.55,0.16,0.580,1.03,-2.09,-2.55,0.580,0.21,-2.74,573.55,0.580,0.35,-2.35,0.04,0.580,0.92,-1.87,-0.39,0.580,0.88,-1.65,0.96,0.580,0.85,-1.41,-1.70,0.580,1.07,-0.84,1.99
0.600,0.50,-2.96,-1.57,0.600,0.13,-2.50,14.25,0.600,0.64,-2.44,-1.53,0.600,0.99,-2.15,-2.75,0.600,0.15,18.56,717.47,0.600,0.30,-2.35,-0.29,0.600,0.88,-1.82,-0.18,0.600,0.85,-1.66,1.58,0.600,0.82,-1.45,-1.70,0.600,1.06,-0.81,0.65
0.620,0.44,-2.98,-1.24,0.620,0.00,-2.06,130.98,0.620,0.59,-2.53,-5.28,0.620,0.95,-2.20,-2.46,0.620,0.09,45.03,168.17,0.620,0.25,-2.34,93.40,0.620,0.84,-1.80,-2.08,0.620,0.82,-1.56,0.92,0.620,0.80,-1.49,-1.22,0.620,1.04,-0.79,-0.77
0.640,0.38,-3.00,-1.21,0.640,0.00,-1.04,334.09,0.640,0.55,-2.73,-7.00,0.640,0.90,-2.24,-2.37,0.640,2.60,35.70,-736.57,0.640,0.20,-2.38,287.94,0.640,0.81,-1.91,-4.17,0.640,0.78,-1.55,-1.49,0.640,0.76,-1.51,-0.23,0.640,1.03,-0.83,-1.88
0.660,0.32,-3.03,2.26,0.660,0.00,11.84,420.61,0.660,0.48,-2.89,-4.31,0.660,0.86,-2.29,-2.51,0.660,3.16,0.31,-1003.33,0.660,0.16,8.89,393.00,0.660,0.77,-2.03,-3.42,0.660,0.76,-1.64,-3.74,0.660,0.73,-1.50,0.49,0.660,1.01,-0.90,-1.66
0.680,0.26,-3.05,4.81,0.680,0.00,23.68,206.03,0.680,0.42,-2.92,-1.30,0.680,0.81,-2.34,-2.72,0.680,1.37,-25.10,-417.31,0.680,0.11,20.97,210.41,0.680,0.72,-2.09,-1.20,0.680,0.72,-1.76,-2.88,0.680,0.70,-1.47,0.56,0.680,0.99,-0.92,-0.21
0.700,0.20,-2.66,3.94,0.700,1.42,23.68,-197.45,0.700,0.37,-2.86,-0.59,0.700,0.76,-2.40,-2.78,0.700,1.36,-14.57,212.44,0.700,1.42,21.46,-171.09,0.700,0.68,-2.03,-0.08,0.700,0.69,-1.81,-0.67,0.700,0.68,-1.47,0.15,0.700,0.97,-0.90,1.08
0.720,0.14,-2.80,5.93,0.720,1.42,11.84,-394.84,0.720,0.31,-2.92,2.62,0.720,0.71,-2.46,-2.61,0.720,1.39,0.49,329.59,0.720,1.46,10.29,-366.74,0.720,0.64,-2.05,-0.45,0.720,0.65,-1.73,0.47,0.720,0.65,-1.47,-0.24,0.720,0.95,-0.86,1.01
0.740,0.12,-2.82,18.62,0.740,1.42,-0.01,-296.14,0.740,0.25,-2.96,5.53,0.740,0.66,-2.51,-2.19,0.740,1.39,0.20,110.97,0.740,1.38,-0.96,-269.14,0.740,0.60,-2.08,-1.04,0.740,0.61,-1.74,-0.09,0.740,0.62,-1.48,-0.41,0.740,0.94,-0.84,-0.26
0.760,0.00,-2.19,38.14,0.760,1.42,-0.01,-98.76,0.760,0.19,-2.50,4.86,0.760,0.61,-2.55,-1.59,0.760,1.40,-0.32,-12.14,0.760,1.38,-0.61,-76.93,0.760,0.56,-2.10,-0.86,0.760,0.58,-1.76,-0.81,0.760,0.59,-1.49,-0.59,0.760,0.92,-0.87,-1.61
0.780,0.00,-1.04,41.69,0.780,1.42,-0.01,-0.10,0.780,0.13,-2.61,5.08,0.780,0.56,-2.57,-1.29,0.780,1.38,-0.44,-2.62,0.780,1.38,0.07,13.08,0.780,0.52,-2.11,-0.62,0.780,0.54,-1.79,-0.33,0.780,0.56,-1.50,-0.64,0.780,0.90,-0.93,-1.78
0.800,0.00,0.00,26.89,0.800,1.42,-0.01,-0.16,0.800,0.13,-2.69,15.53,0.800,0.51,-2.59,-1.50,0.800,1.36,-0.33,4.55,0.800,1.38,0.03,3.49,0.800,0.48,-2.12,-0.30,0.800,0.51,-1.79,0.20,0.800,0.53,-1.52,-0.35,0.800,0.88,-0.96,-0.79
0.820,0.00,0.00,8.66,0.820,1.42,-0.01,-0.45,0.820,0.00,-2.17,252.06,0.820,0.46,-2.63,-1.95,0.820,1.37,-0.11,3.82,0.820,1.38,-0.03,-3.00,0.820,0.43,-2.13,0.00,0.820,0.47,-1.76,0.24,0.820,0.50,-1.52,0.22,0.820,0.86,-0.95,0.20
0.840,0.00,0.00,181.50,0.840,1.42,-0.02,-0.88,0.840,0.00,-1.08,574.34,0.840,0.41,-2.68,-2.09,0.840,1.36,-0.10,1.78,0.840,1.38,-0.09,,0.840,0.39,-2.12,0.00,0.840,0.44,-1.77,-0.17,0.840,0.47,-1.51,0.57,0.840,0.84,-0.93,0.40
0.860,0.00,0.00,576.88,0.860,1.42,-0.05,-1.31,0.860,0.00,26.03,541.52,0.860,0.35,-2.72,-1.75,0.860,1.37,-0.20,1.69,0.860,1.38,-0.17,,0.860,0.35,-2.12,-0.20,0.860,0.40,-1.78,-0.51,0.860,0.44,-1.49,0.49,0.860,0.83,-0.93,0.01
0.880,0.00,21.78,716.30,0.880,1.42,-0.08,-1.59,0.880,0.00,38.03,-32.52,0.880,0.30,-2.74,1.94,0.880,1.36,-0.02,-0.08,0.880,1.38,,,0.880,0.31,-2.13,-0.31,0.880,0.37,-1.79,-0.52,0.880,0.41,-1.49,0.16,0.880,0.81,-0.94,-0.37
0.900,0.00,47.45,165.46,0.900,1.42,-0.12,-2.47,0.900,3.12,23.70,-677.86,0.900,0.24,-2.77,10.85,0.900,1.35,0.01,-6.87,,,,,0.900,0.26,-2.13,1.85,0.900,0.33,-1.80,-0.44,0.900,0.38,-1.49,-0.09,0.900,0.79,-0.95,-0.49
0.920,2.61,38.51,-746.86,0.920,1.41,-0.15,-4.43,0.920,1.44,-2.65,-638.15,0.920,0.19,-2.39,198.47,0.920,1.37,-0.33,-13.84,,,,,0.920,0.22,-2.14,9.26,0.920,0.29,-1.81,-0.35,0.920,0.35,-1.49,-0.13,0.920,0.77,-0.96,-0.38
0.940,3.08,3.13,-1035.83,0.940,1.41,-0.28,-5.50,0.940,1.40,-14.63,-176.80,0.940,0.13,-1.77,591.43,0.940,1.35,-0.72,-12.77,,,,,0.940,0.18,-1.89,20.84,0.940,0.26,-1.81,0.58,0.940,0.32,-1.49,-0.09,0.940,0.75,-0.97,-0.07
0.960,1.54,-23.52,-480.79,0.960,1.41,-0.45,-5.49,0.960,1.40,-0.22,143.18,0.960,0.12,20.07,717.78,0.960,1.32,-0.95,-7.16,,,,,0.960,0.13,-1.26,26.98,0.960,0.22,-1.82,4.87,0.960,0.29,-1.49,-0.03,0.960,0.73,-0.96,0.17
0.980,1.45,-14.82,157.24,0.980,1.39,-0.48,-6.78,0.980,1.41,0.05,119.44,0.980,0.09,45.74,162.43,0.980,1.32,-0.90,-7.49,,,,,0.980,0.12,-0.51,194.04,0.980,0.19,-1.72,11.10,0.980,0.26,-1.49,-0.01,0.980,0.71,-0.96,0.06
1.000,1.42,-1.24,315.60,1.000,1.38,-0.61,-12.03,1.000,1.41,-0.15,-5.12,1.000,2.63,36.23,-732.00,1.000,1.29,-1.00,-13.46,,,,,1.000,0.12,-0.28,528.56,1.000,0.15,-1.32,289.16,1.000,0.23,-1.49,1.06,1.000,0.69,-0.95,-0.33
1.020,1.42,-0.29,135.21,1.020,1.38,-0.93,-16.71,1.020,1.40,-0.36,-6.59,1.020,3.11,1.56,-994.99,1.020,1.27,-1.56,-18.30,,,,,1.020,0.13,20.41,715.38,1.020,0.12,-0.98,564.01,1.020,0.20,-1.50,5.66,1.020,0.67,-0.97,-0.59
1.040,1.42,-0.18,21.24,1.040,1.34,-1.44,-15.92,1.040,1.39,-0.42,-5.44,1.040,1.46,-23.59,-430.64,1.040,1.25,-1.90,-12.15,,,,,1.040,0.10,41.24,344.24,1.040,0.12,32.14,463.19,1.040,0.17,-1.37,11.87,1.040,0.65,-0.99,-0.38
1.060,1.42,0.35,10.46,1.060,1.31,-1.65,-8.51,1.060,1.38,-0.47,-4.45,1.060,1.46,-13.83,182.63,1.060,1.18,-2.20,3.56,,,,,1.060,2.60,43.81,-469.55,1.060,0.09,32.50,80.14,1.060,0.14,-0.94,226.39,1.060,0.63,-0.99,0.34
1.080,1.41,0.67,-6.20,1.080,1.27,-1.80,-1.25,1.080,1.38,-0.69,-3.03,1.080,1.45,-0.05,311.27,1.080,1.16,-1.82,,,,,,1.080,2.60,17.63,-886.98,1.080,4.04,20.78,-368.45,1.080,0.12,-0.62,524.51,1.080,0.61,-0.98,0.83
1.100,1.48,0.11,-21.29,1.100,1.25,-1.59,-1.51,1.100,1.36,-0.62,-1.43,1.100,1.45,-0.07,115.01,1.100,1.10,-1.21,,,,,,1.100,2.88,-12.32,-538.94,1.100,0.11,20.00,-591.66,1.100,0.13,24.93,485.37,1.100,0.59,-0.94,0.50
1.120,1.44,-0.69,-20.70,1.120,1.19,-1.65,-2.33,1.120,1.33,-0.63,-5.82,1.120,1.45,-0.01,-1.82,1.120,1.11,,,,,,,1.120,1.93,-9.07,83.90,1.120,2.60,0.44,-911.72,1.120,0.10,35.70,-64.52,1.120,0.58,-0.94,-0.44
1.140,1.39,-0.85,-13.83,1.140,1.20,-1.98,2.44,1.140,1.35,-0.71,,1.140,1.45,-0.07,-5.92,,,,,,,,,1.140,1.79,5.83,191.51,1.140,3.93,-18.15,-739.41,1.140,3.15,20.97,-667.92,1.140,0.56,-0.97,-1.23
1.160,1.40,-0.85,-12.97,1.160,1.12,-1.69,10.55,1.160,1.31,-1.31,,1.160,1.46,-0.26,-10.00,,,,,,,,,1.160,2.60,9.55,-215.82,1.160,0.27,-50.48,228.20,1.160,1.39,-4.41,-600.15,1.160,0.54,-1.00,-1.18
1.180,1.41,-1.39,-4.77,1.180,1.08,-1.26,8.45,1.180,1.30,,,1.180,1.44,-0.53,-10.63,,,,,,,,,1.180,2.91,-7.95,-442.33,1.180,0.26,-17.82,1000.21,1.180,1.36,-15.11,-140.23,1.180,0.52,-1.03,-0.59
1.200,1.32,-1.71,,1.200,1.11,-1.10,-0.54,,,,,1.200,1.43,-0.75,-8.75,,,,,,,,,1.200,1.96,-21.18,-198.49,1.200,0.21,27.49,813.35,1.200,1.36,-0.23,162.01,1.200,0.50,-1.02,0.76
1.220,1.31,-0.56,,1.220,1.07,-1.55,6.52,,,,,1.220,1.41,-0.85,-6.83,,,,,,,,,1.220,1.48,-16.52,184.99,1.220,1.85,23.91,-114.61,1.220,1.36,-0.03,126.74,1.220,0.48,-1.02,2.18
1.240,1.30,,,1.240,1.01,-1.46,,,,,,1.240,1.40,-0.98,,,,,,,,,,1.240,1.49,-5.70,298.77,1.240,1.98,5.40,-552.66,1.240,1.36,-0.05,0.73,1.240,0.46,-0.92,1.97
,,,,1.260,1.00,-0.12,,,,,,1.260,1.37,-1.12,,,,,,,,,,1.260,1.40,-1.23,177.82,1.260,1.36,-9.48,-291.01,1.260,1.36,-0.09,-0.39,1.260,0.44,-0.87,-0.37
,,,,1.280,1.00,,,,,,,1.280,1.35,,,,,,,,,,,1.280,1.36,-0.62,,1.280,1.35,-5.44,31.50,1.280,1.36,-0.09,,1.280,0.43,-0.93,-3.14
,,,,,,,,,,,,,,,,,,,,,,,,1.300,1.47,-0.26,,1.300,1.34,-0.18,124.51,1.300,1.35,-0.03,,1.300,0.40,-1.05,-3.47
,,,,,,,,,,,,,,,,,,,,,,,,1.320,1.34,,,1.320,1.35,-0.13,51.25,1.320,1.36,,,1.320,0.38,-1.12,-1.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.340,1.34,0.15,8.31,,,,,1.340,0.36,-1.10,-0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.360,1.33,0.39,1.73,,,,,1.360,0.33,-1.09,0.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.380,1.37,0.31,-8.74,,,,,1.380,0.31,-1.07,0.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.400,1.36,-0.08,-13.48,,,,,1.400,0.29,-1.06,0.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.420,1.35,-0.44,-11.88,,,,,1.420,0.27,-1.05,0.20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.440,1.35,-0.49,,,,,,1.440,0.25,-1.05,-0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.460,1.34,-0.71,,,,,,1.460,0.23,-1.05,-0.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.480,1.32,,,,,,,1.480,0.21,-1.06,-0.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.500,0.19,-1.06,1.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.520,0.17,-1.06,5.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.540,0.14,-0.89,12.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.560,0.12,-0.53,14.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.580,0.12,-0.10,96.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.600,0.12,-0.06,261.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.620,0.13,10.18,345.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.640,0.11,20.57,174.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.660,1.36,20.68,-170.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.680,1.36,10.38,-344.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.700,1.36,-0.08,-259.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.720,1.36,-0.05,-86.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.740,1.36,-0.02,0.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.760,1.36,-0.02,-0.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.780,1.36,-0.05,-0.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.800,1.36,-0.08,0.51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.820,1.35,-0.06,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.840,1.35,0.06,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.860,1.35,,
